"","bookthumburl","booktitle"
"1","https://bookthumb-phinf.pstatic.net/cover/166/827/16682780.jpg?type=m106&udate=20200921","나는 너를 펭랑해:펭수 엽서책"
"2","https://bookthumb-phinf.pstatic.net/cover/165/879/16587911.jpg?type=m106&udate=20200921","심판(양장본 HardCover)"
"3","https://bookthumb-phinf.pstatic.net/cover/166/862/16686232.jpg?type=m106&udate=20200921","하이큐!! 43"
"4","https://bookthumb-phinf.pstatic.net/cover/166/244/16624485.jpg?type=m106&udate=20200921","한번도경험해보지못한 나라"
"5","https://bookthumb-phinf.pstatic.net/cover/118/022/11802243.jpg?type=m106&udate=20200921","아몬드"
"6","https://bookthumb-phinf.pstatic.net/cover/163/719/16371940.jpg?type=m106&udate=20200921","돈의 속성"
"7","https://bookthumb-phinf.pstatic.net/cover/166/569/16656908.jpg?type=m106&udate=20200921","영원의 사자들 1~2세트 - 전2권"
"8","https://bookthumb-phinf.pstatic.net/cover/164/920/16492085.jpg?type=m106&udate=20200921","살고 싶다는 농담(양장본 HardCover)"
"9","https://bookthumb-phinf.pstatic.net/cover/164/924/16492415.jpg?type=m106&udate=20200921","공부란 무엇인가"
"10","https://bookthumb-phinf.pstatic.net/cover/087/365/08736562.jpg?type=m106&udate=20200921","이토록 공부가 재미있어지는 순간"
