,newstitle,newspapername
1,車에 깔렸는데..'포르쉐 질주' 피해 오토바이 기적의 생존,중앙일보
2,"""녹음되는 데 청탁?"" vs ""추방부냐""..추미애 3라운드 공방",노컷뉴스
3,'군복' 말고 '사복' 입으라고? 서욱 인사청문회 '때 아닌' 복장 논란,한국일보
4,"[단독] 개그맨 최재욱 ""제가 불법도박장 운영 최 모씨..최국, 김형인 선배 죄송""",스포츠조선
5,"윤미향 ""할머니 욕보였다"" 격분..檢 ""기부결정 불능"" 치매진단 주목",뉴스1
6,"""모기가 너무 많아"" 중국 숲 아파트 8백가구 중 10가구만 입주",한겨레
7,"""코로나 6개월이면 제작""..옌리멍 박사 논문 공개",노컷뉴스
8,'카톡은 사생활에만 쓰세요'..업무용 플랫폼 '카카오워크' 출시(종합),연합뉴스
9,"정부 ""노래방, 손실보상 대상 아니다..재난지원금으로 피해 지원""",뉴시스
10,21일부터 병원 신규 입원 환자 진단검사에 건보..본인부담 1만원(종합),뉴시스
11,동거남 아들 여행가방 가둬 숨지게 한 40대에게 징역 22년 선고,경향신문
12,서울서 코로나19 확진 60대 귀가 요청 불구 KTX타고 이동,연합뉴스
13,"'전국민 독감 접종' 논의에..의료진들 ""잘못된 시그널 위험"" 왜?",뉴스1
14,"""태풍 후 北신포조선소 SLBM 수중발사 시험용 바지선 종적 감춰""",뉴시스
15,"서울시 전 인사비서관 ""박원순 피해자, 자의로 비서실 근무했다""",뉴시스
16,'통조림 사냥' 위해 사육당하는 사자들..남아공서 10마리 구출,서울신문
17,"""법대로 해"" 평택 편의점 난동 30대, 체포 중에도 '당당'(종합)",서울신문
18,"[단독] 우리 해군 헬기, 일본 헬기항모에 처음으로 내려앉았다",조선일보
19,'대마 환각상태서 600m 폭주' 포르쉐 블랙박스에 뭐가 있길래,뉴스1
20,"태풍 덮친 새벽3시, 순찰 안 했다고 욕 먹은 경비원",머니투데이
21,"전직 카투사 ""秋아들은 모범병사, 언론 마녀사냥 심하다""",국민일보
22,피셔가 떨어뜨린 작은 공..토론토는 20실점 참패,MK스포츠
23,전화로 휴가 연장한 육군 병사 4년간 총 3137명 확인,뉴시스
24,10년 쏟아 개발한 OLED도 중국에 곧 따라잡혀 '절체절명',아시아경제
25,"[단독]SBS 개그맨 김형인·최재욱, 도박장 개설 혐의 기소[종합]",스타뉴스
26,중국이 아니라 인니가 中 코로나 백신 시험장..왜?,뉴스1
27,"""2차는 무슨? 석달 밀린 1차 지원금부터 주세요"" 취약계층 '성토'",한국경제
28,용인서 일가족 4명 포함 확진자 6명 추가 발생..모두 경로 미확인,뉴스1
29,"신원식 ""秋 아들 민원실 전화 여성 목소리였다는 제보 받아""",뉴시스
30,"1주택자 LTV 완화해달라..정세균 ""투기불 끄면 당연히 해야""",뉴스1
31,"무주택자, 집값 급등에 '내집마련' 포기 늘어..다주택자 증여 급증",뉴스1
32,"2017년 美전투기 20대 몰려들어도 北방공망 '깜깜', 미군이 더 놀랐다 [웨펀]",주간동아
33,"중국, 코로나 이어 브루셀라병 비상..3천여명 감염",연합뉴스
34,"""개천절에도 광화문서 집회한다""..정부, 엄정대응 방침(종합)",서울신문
35,"""미군 지지 하라""며 러시아 전투기 사진 쓴 트럼프 캠프 '망신'",연합뉴스
36,엄마 없을 때 라면 끓이려다 불낸 초등생 형제..여전히 중태,연합뉴스
37,"세인트루이스, 밀워키에 대패..양 팀 선수단 충돌",MK스포츠
38,"[MD현장] '첫 군재판' 승리 ""계급 일병..성접대·성매매 안했다"" 혐의 1개만 인정 (종합)",마이데일리
39,"분노 삭히지 못한 쉴트 감독, ""날 향해 모욕""..몰리나는 추후 재검",OSEN
40,"걸그룹 은솜, 배우 이은주로 새 출발..""하정우가 롤모델"" [인터뷰] [단독]",OSEN
41,박은영 살린 '아내의 맛' 유일하게 지켜낸 정체성 [TV와치],뉴스엔
42,"""손흥민 낭비되고 있다""..무리뉴 전술 비판",스포티비뉴스
43,[단독]'14시간 60곡 완창' 역시 아이유..'스케치북' 녹화 감동,스타뉴스
44,"하태경 ""서욱, 군인 같지 않고 권력 눈치 봐..낙제하시겠네""",뉴시스
45,"류현진-김광현 극찬한 美 매체 ""한국 팬들, 활약보며 황홀감 느낄 것""",엠스플뉴스
46,등교중단 학교 3일만에 다시 7000곳 넘어..10개 시도 7010곳,뉴스1
47,"정부 ""의대생 의도 짐작만으로 추가시험 검토 안한다""",뉴시스
48,"'미스터트롯' 마스터 조영수 ""임영웅 관객 마음 읽고 움직이는 가수"" [EN:인터뷰①]",뉴스엔
49,"이용수 할머니 ""소녀상 철거 주장은 '나쁜 행동'이자 역사의 죄인""",한겨레
50,"홍영표, 秋 엄호하다 ""쿠데타 안되니 국회 와서 공작""",연합뉴스
