"","goodsname","goodsprice"
"1","활황)요구르트코코240ML","1400"
"2","정관장)홍삼원골드100ML(파우치)","1500"
"3","정관장)홍삼원D100ML","1000"
"4","광동)헛개파워100ML","4500"
"5","정식품)베지밀검은콩190ML","900"
"6","정식품)한끼두유팩190ML","900"
"7","정식품)검은참깨두유팩190ML","900"
"8","팜트리)궁중발효홍삼세트(10입)","22000"
"9","CJ)한뿌리마","2500"
"10","CJ)홍삼한뿌리","5000"
"11","CJ)인삼한뿌리","4000"
"12","웅진)장쾌삼발효홍삼력세트[D2]","39000"
"13","허닭)닭가슴살육포(매운맛)40G","4700"
"14","허닭)닭가슴살육포(바베큐)40G","4700"
"15","건포도30G","1000"
"16","바나나칩20G","1000"
"17","볶음땅콩35G","1000"
"18","브라질넛25G","1000"
"19","샐러드토핑30G","1000"
"20","세부건망고(40G)","2500"
"21","냉동딸기300G","3500"
"22","냉동블루베리300G","3500"
"23","냉동애플망고300G","3500"
"24","돌)건파인애플(80G/봉)","3500"
"25","돌)건망고(80G/봉)","4500"
"26","돌)망고컵198G","2400"
"27","돌)복숭아컵198G","2400"
"28","돌)파인애플컵198G","2400"
"29","아카시아스틱꿀15G","1000"
"30","야생화스틱꿀15G","1000"
"31","순수고구마(130G/진공포장)","2900"
"32","용두동)할매쭈꾸미150G(냉장)","5900"
"33","오늘참치못회120G(냉동)","7900"
"34","밥도둑)양념게장200G(냉장)","5900"
"35","맛진미채90G(냉장)","5900"
"36","자숙재첩회(냉장)","4000"
"37","물메기채45G(냉장)","3800"
"38","복어꼬리포30G(냉장)","3800"
"39","아귀채45G(냉장)","3800"
"40","대구노가리30G","3500"
"41","도톰한오징어25G","3500"
"42","서울)귀리우유190ML","1200"
"43","서울)흑임자우유190ML","1200"
"44","서울)강릉커피라떼250ML","2300"
"45","서울)강릉커피블랙250ML","2300"
"46","파워에이드)메가볼츠600ML","2000"
"47","파워에이드)퍼플스톰600ML","2000"
"48","코카)토레타240ML","1200"
"49","심쿡)감바스170G","6900"
"50","심쿡)동파육200G","6900"
"51","심쿡)불난마늘족발180G","6900"
"52","심플리쿡)해물누룽지탕200G","6900"
"53","명란크림파스타253G","3500"
"54","알리오올리오192.5G","3500"
"55","이가자연면)우육탕면","3200"
"56","글로브)구운캐슈넛30G","1500"
"57","글로브)바삭은행20G","1500"
"58","글라소)에너지500ML","2000"
"59","글라소)파워씨500ML","2000"
