"","vtitle","vpoint","vreview"
"1","극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!","10",""
"2","기기괴괴 성형수","1","별점 10점 이해가 안 간다 그냥 너무 노잼 8천원으로 떡볶이나 먹고 싶어요"
"3","강철비2: 정상회담","1","이걸 영화라고 만들엇냐 ㅋㅋㅋㅋ? 국가망신 수준 미달이네 다신 이런 영화 만들지마라 디워 급이네"
"4","가디언즈","10","아이들과 함께 보기에 최고의 영화에요. 이런 영화가 개봉했었는지도 몰랐었네요. 영상, 내용 구성 다 좋아요."
"5","테넷","10","역시 놀란 감독. 음악도 내내 너무 좋았고, 로버트 패틴슨 연기... 더 배트맨을 더욱 기대하게 만드는 영화. 진짜 간만의 역작"
"6","다만 악에서 구하소서","4","그냥 노잼. 보는 내내 한국영화네 라는 생각. 딱히 내가 영화를 잘알고 평론가도 아니지만 그냥 노잼이란 생각만듬. 보는 내내 지루함"
"7","오! 문희","10","나샘의 연기를 알기에 전혀 정보가 없었지만 믿고 봤다. 아들로 나오는 배우도 연기 알아주기에. 코믹이지만 울기도 했다. 치매를 나름 사실적으로 표현, 치매 노인을 모시는 가족의 고통과 긍정적인 모습.후자는  현실에선 드물꺼 같다. 그래도 좋았다. 희망메세지,정의,가족의 승리"
"8","작전","10","주식을 알고 보니 더 재밌는 그런 영화명화입니다. 10점"
"9","뉴 뮤턴트","1","커플끼리가면 두명이서 볼수있어서 아주좋아요 꼭보세요.온국미이 다봤으면좋겠네요"
"10","오! 문희","9","댓글 알바 아니구요 ㅎㅎ 저는 즐겁게 봤어요 치매를 소재로 해서 조금 마음아픈 부분도 있었지만연기도 잘하시고 웃으며 봤습니다."
